Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment
R,2021-06-23,16:05:00,2021-06-23,16:14:00,4,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-23,13:55:00,2021-06-23,16:01:00,42,126,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-06-23,12:40:00,2021-06-23,14:46:00,83,126,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-06-23,12:40:00,2021-06-23,13:13:00,83,33,Photoeye Fault,PSG Machine,Pulling,Photocell,Photocell lost calibration,,
R,2021-06-23,12:28:00,2021-06-23,12:41:00,71,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-23,11:08:00,2021-06-23,11:17:00,42,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-23,10:04:00,2021-06-23,10:26:00,17,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-23,09:34:00,2021-06-23,09:47:00,14,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-23,09:07:00,2021-06-23,09:20:00,42,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-23,08:03:00,2021-06-23,08:25:00,34,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-23,07:20:00,2021-06-23,07:29:00,67,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-23,05:55:00,2021-06-23,06:13:00,187,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-23,02:30:00,2021-06-23,02:48:00,22,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-23,01:59:00,2021-06-23,02:08:00,75,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-23,01:35:00,2021-06-23,02:50:00,51,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-23,00:40:00,2021-06-23,00:44:00,100,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-23,00:02:00,2021-06-23,00:53:00,62,51,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-22,22:38:00,2021-06-22,23:00:00,59,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-22,22:38:00,2021-06-22,23:03:00,59,25,Machine Stopped by Operator,,,,,,
R,2021-06-22,21:26:00,2021-06-22,21:39:00,131,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-22,20:43:00,2021-06-22,22:05:00,88,82,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-06-22,18:51:00,2021-06-22,19:15:00,59,24,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-06-22,17:43:00,2021-06-22,17:52:00,21,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-22,17:13:00,2021-06-22,17:22:00,48,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-22,16:27:00,2021-06-22,17:42:00,2,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-22,16:12:00,2021-06-22,16:25:00,58,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-22,14:56:00,2021-06-22,15:14:00,30,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-22,13:55:00,2021-06-22,14:26:00,51,31,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-06-22,12:40:00,2021-06-22,13:04:00,39,24,Machine Stopped by Operator,,,,,,
